id,tokens,ner_tags
0,The,0
0,first,0
0,ascent,0
0,of,0
0,K2,1
0,was,0
0,a,0
0,monumental,0
0,event,0
0,in,0
0,mountaineering,0
0,history.,0
1,The,0
1,route,0
1,to,0
1,Kangchenjunga,1
1,is,0
1,dotted,0
1,with,0
1,both,0
1,beauty,0
1,and,0
1,peril.,0
2,K2,1
2,is,0
2,often,0
2,shrouded,0
2,in,0
2,"mist,",0
2,adding,0
2,to,0
2,its,0
2,mystique.,0
3,Annapurna,1
3,stands,0
3,as,0
3,an,0
3,icon,0
3,in,0
3,the,0
3,Fuji,1
3,landscape.,0
4,Expeditions,0
4,to,0
4,Elbrus,1
4,require,0
4,extensive,0
4,preparation,0
4,and,0
4,skill.,0
5,The,0
5,first,0
5,ascent,0
5,of,0
5,Cho,0
5,Oyu,0
5,was,0
5,a,0
5,monumental,0
5,event,0
5,in,0
5,mountaineering,0
5,history.,0
6,The,0
6,first,0
6,ascent,0
6,of,0
6,Kilimanjaro,1
6,was,0
6,a,0
6,monumental,0
6,event,0
6,in,0
6,mountaineering,0
6,history.,0
7,Lhotse,1
7,stands,0
7,as,0
7,an,0
7,icon,0
7,in,0
7,the,0
7,Rainier,1
7,landscape.,0
8,Fuji,1
8,stands,0
8,as,0
8,an,0
8,icon,0
8,in,0
8,the,0
8,McKinley,1
8,landscape.,0
9,Expeditions,0
9,to,0
9,Fuji,1
9,require,0
9,extensive,0
9,preparation,0
9,and,0
9,skill.,0
10,Climbers,0
10,often,0
10,set,0
10,up,0
10,base,0
10,camps,0
10,at,0
10,the,0
10,foot,0
10,of,0
10,Rainier,1
10,for,0
10,acclimatization.,0
11,Eiger,1
11,stands,0
11,as,0
11,an,0
11,icon,0
11,in,0
11,the,0
11,Vesuvius,1
11,landscape.,0
12,Local,0
12,legends,0
12,about,0
12,Elbrus,1
12,speak,0
12,of,0
12,gods,0
12,and,0
12,ancient,0
12,spirits.,0
13,The,0
13,first,0
13,ascent,0
13,of,0
13,Cho,0
13,Oyu,0
13,was,0
13,a,0
13,monumental,0
13,event,0
13,in,0
13,mountaineering,0
13,history.,0
14,Local,0
14,legends,0
14,about,0
14,Lhotse,1
14,speak,0
14,of,0
14,gods,0
14,and,0
14,ancient,0
14,spirits.,0
15,Whitney,1
15,is,0
15,part,0
15,of,0
15,a,0
15,larger,0
15,range,0
15,known,0
15,as,0
15,the,0
15,Everest.,0
16,The,0
16,wildlife,0
16,around,0
16,McKinley,1
16,includes,0
16,rare,0
16,species,0
16,of,0
16,birds,0
16,and,0
16,mammals.,0
17,Annapurna,1
17,is,0
17,part,0
17,of,0
17,a,0
17,larger,0
17,range,0
17,known,0
17,as,0
17,the,0
17,Eiger.,0
18,The,0
18,first,0
18,ascent,0
18,of,0
18,Olympus,1
18,was,0
18,a,0
18,monumental,0
18,event,0
18,in,0
18,mountaineering,0
18,history.,0
19,Matterhorn,1
19,is,0
19,often,0
19,shrouded,0
19,in,0
19,"mist,",0
19,adding,0
19,to,0
19,its,0
19,mystique.,0
20,Aconcagua,1
20,is,0
20,part,0
20,of,0
20,a,0
20,larger,0
20,range,0
20,known,0
20,as,0
20,the,0
20,Whitney.,0
21,The,0
21,wildlife,0
21,around,0
21,Kangchenjunga,1
21,includes,0
21,rare,0
21,species,0
21,of,0
21,birds,0
21,and,0
21,mammals.,0
22,Expeditions,0
22,to,0
22,Vesuvius,1
22,require,0
22,extensive,0
22,preparation,0
22,and,0
22,skill.,0
23,The,0
23,route,0
23,to,0
23,K2,1
23,is,0
23,dotted,0
23,with,0
23,both,0
23,beauty,0
23,and,0
23,peril.,0
24,Annapurna's,0
24,summit,0
24,offers,0
24,unparalleled,0
24,views,0
24,of,0
24,the,0
24,surrounding,0
24,terrain.,0
25,Expeditions,0
25,to,0
25,Cho,0
25,Oyu,0
25,require,0
25,extensive,0
25,preparation,0
25,and,0
25,skill.,0
26,Local,0
26,legends,0
26,about,0
26,Matterhorn,1
26,speak,0
26,of,0
26,gods,0
26,and,0
26,ancient,0
26,spirits.,0
27,Rainier,1
27,is,0
27,part,0
27,of,0
27,a,0
27,larger,0
27,range,0
27,known,0
27,as,0
27,the,0
27,Annapurna.,0
28,The,0
28,first,0
28,ascent,0
28,of,0
28,Denali,1
28,was,0
28,a,0
28,monumental,0
28,event,0
28,in,0
28,mountaineering,0
28,history.,0
29,Expeditions,0
29,to,0
29,Cho,0
29,Oyu,0
29,require,0
29,extensive,0
29,preparation,0
29,and,0
29,skill.,0
30,Expeditions,0
30,to,0
30,Fuji,1
30,require,0
30,extensive,0
30,preparation,0
30,and,0
30,skill.,0
31,The,0
31,first,0
31,ascent,0
31,of,0
31,McKinley,1
31,was,0
31,a,0
31,monumental,0
31,event,0
31,in,0
31,mountaineering,0
31,history.,0
32,The,0
32,first,0
32,ascent,0
32,of,0
32,Eiger,1
32,was,0
32,a,0
32,monumental,0
32,event,0
32,in,0
32,mountaineering,0
32,history.,0
33,The,0
33,first,0
33,ascent,0
33,of,0
33,Lhotse,1
33,was,0
33,a,0
33,monumental,0
33,event,0
33,in,0
33,mountaineering,0
33,history.,0
34,Local,0
34,legends,0
34,about,0
34,Vesuvius,1
34,speak,0
34,of,0
34,gods,0
34,and,0
34,ancient,0
34,spirits.,0
35,McKinley,1
35,is,0
35,part,0
35,of,0
35,a,0
35,larger,0
35,range,0
35,known,0
35,as,0
35,the,0
35,Lhotse.,0
36,Local,0
36,legends,0
36,about,0
36,Fuji,1
36,speak,0
36,of,0
36,gods,0
36,and,0
36,ancient,0
36,spirits.,0
37,Climbers,0
37,often,0
37,set,0
37,up,0
37,base,0
37,camps,0
37,at,0
37,the,0
37,foot,0
37,of,0
37,Denali,1
37,for,0
37,acclimatization.,0
38,Climbers,0
38,often,0
38,set,0
38,up,0
38,base,0
38,camps,0
38,at,0
38,the,0
38,foot,0
38,of,0
38,K2,1
38,for,0
38,acclimatization.,0
39,Rainier,1
39,is,0
39,often,0
39,shrouded,0
39,in,0
39,"mist,",0
39,adding,0
39,to,0
39,its,0
39,mystique.,0
40,Climbers,0
40,often,0
40,set,0
40,up,0
40,base,0
40,camps,0
40,at,0
40,the,0
40,foot,0
40,of,0
40,Cho,0
40,Oyu,0
40,for,0
40,acclimatization.,0
41,Local,0
41,legends,0
41,about,0
41,Mont,0
41,Blanc,0
41,speak,0
41,of,0
41,gods,0
41,and,0
41,ancient,0
41,spirits.,0
42,Expeditions,0
42,to,0
42,K2,1
42,require,0
42,extensive,0
42,preparation,0
42,and,0
42,skill.,0
43,Expeditions,0
43,to,0
43,Aconcagua,1
43,require,0
43,extensive,0
43,preparation,0
43,and,0
43,skill.,0
44,Vesuvius's,0
44,summit,0
44,offers,0
44,unparalleled,0
44,views,0
44,of,0
44,the,0
44,surrounding,0
44,terrain.,0
45,The,0
45,route,0
45,to,0
45,Aconcagua,1
45,is,0
45,dotted,0
45,with,0
45,both,0
45,beauty,0
45,and,0
45,peril.,0
46,Annapurna,1
46,is,0
46,often,0
46,shrouded,0
46,in,0
46,"mist,",0
46,adding,0
46,to,0
46,its,0
46,mystique.,0
47,Local,0
47,legends,0
47,about,0
47,Vesuvius,1
47,speak,0
47,of,0
47,gods,0
47,and,0
47,ancient,0
47,spirits.,0
48,The,0
48,first,0
48,ascent,0
48,of,0
48,Matterhorn,1
48,was,0
48,a,0
48,monumental,0
48,event,0
48,in,0
48,mountaineering,0
48,history.,0
49,Climbers,0
49,often,0
49,set,0
49,up,0
49,base,0
49,camps,0
49,at,0
49,the,0
49,foot,0
49,of,0
49,Annapurna,1
49,for,0
49,acclimatization.,0
50,Lhotse's,0
50,summit,0
50,offers,0
50,unparalleled,0
50,views,0
50,of,0
50,the,0
50,surrounding,0
50,terrain.,0
