id,tokens,ner_tags
1000,Mount,1
1000,Vesuvius,2
1000,is,0
1000,known,0
1000,for,0
1000,its,0
1000,breathtaking,0
1000,views,0
1000,and,0
1000,challenging,0
1000,trails,0
1001,Mount,1
1001,Vesuvius,2
1001,Mount,0
1001,is,0
1001,the,0
1001,highest,0
1001,peak,0
1001,in,0
1001,the,0
1001,region,0
1001,of,0
1002,Mount,1
1002,Matterhorn,2
1002,has,0
1002,a,0
1002,rich,0
1002,history,0
1002,and,0
1002,is,0
1002,a,0
1002,symbol,0
1002,of,0
1003,Mount,1
1003,Matterhorn,2
1003,is,0
1003,located,0
1003,in,0
1003,the,0
1003,beautiful,0
1003,landscape,0
1003,of,0
1004,Mount,1
1004,Whitney,2
1004,Mount,0
1004,is,0
1004,the,0
1004,highest,0
1004,peak,0
1004,in,0
1004,the,0
1004,region,0
1004,of,0
1005,Mount,1
1005,K2,2
1005,Mount,0
1005,is,0
1005,the,0
1005,highest,0
1005,peak,0
1005,in,0
1005,the,0
1005,region,0
1005,of,0
1006,Mount,1
1006,Olympus,2
1006,offers,0
1006,some,0
1006,of,0
1006,the,0
1006,most,0
1006,spectacular,0
1006,hiking,0
1006,routes,0
1006,in,0
1007,Mount,1
1007,Mont Blanc,2
1007,was,0
1007,first,0
1007,climbed,0
1007,in,0
1007,the,0
1007,year,0
1007,by,0
1008,Mount,1
1008,Kilimanjaro,2
1008,was,0
1008,first,0
1008,climbed,0
1008,in,0
1008,the,0
1008,year,0
1008,by,0
1009,Mount,1
1009,Kilimanjaro,2
1009,was,0
1009,first,0
1009,climbed,0
1009,in,0
1009,the,0
1009,year,0
1009,by,0
1010,Mount,1
1010,Elbrus,2
1010,was,0
1010,first,0
1010,climbed,0
1010,in,0
1010,the,0
1010,year,0
1010,by,0
1011,Mount,1
1011,Cho Oyu,2
1011,is,0
1011,located,0
1011,in,0
1011,the,0
1011,beautiful,0
1011,landscape,0
1011,of,0
1012,Mount,1
1012,K2,2
1012,is,0
1012,famous,0
1012,for,0
1012,its,0
1012,snow-capped,0
1012,peaks,0
1012,and,0
1012,alpine,0
1012,flora,0
1013,Mount,1
1013,K2,2
1013,was,0
1013,first,0
1013,climbed,0
1013,in,0
1013,the,0
1013,year,0
1013,by,0
1014,Mount,1
1014,Everest,2
1014,is,0
1014,famous,0
1014,for,0
1014,its,0
1014,snow-capped,0
1014,peaks,0
1014,and,0
1014,alpine,0
1014,flora,0
1015,Mount,1
1015,Vesuvius,2
1015,offers,0
1015,some,0
1015,of,0
1015,the,0
1015,most,0
1015,spectacular,0
1015,hiking,0
1015,routes,0
1015,in,0
1016,Mount,1
1016,Lhotse,2
1016,is,0
1016,located,0
1016,in,0
1016,the,0
1016,beautiful,0
1016,landscape,0
1016,of,0
1017,Mount,1
1017,Denali,2
1017,was,0
1017,first,0
1017,climbed,0
1017,in,0
1017,the,0
1017,year,0
1017,by,0
1018,Mount,1
1018,Makalu,2
1018,is,0
1018,famous,0
1018,for,0
1018,its,0
1018,snow-capped,0
1018,peaks,0
1018,and,0
1018,alpine,0
1018,flora,0
1019,Mount,1
1019,Aconcagua,2
1019,offers,0
1019,some,0
1019,of,0
1019,the,0
1019,most,0
1019,spectacular,0
1019,hiking,0
1019,routes,0
1019,in,0
1020,Mount,1
1020,K2,2
1020,is,0
1020,located,0
1020,in,0
1020,the,0
1020,beautiful,0
1020,landscape,0
1020,of,0
1021,Mount,1
1021,Whitney,2
1021,is,0
1021,famous,0
1021,for,0
1021,its,0
1021,snow-capped,0
1021,peaks,0
1021,and,0
1021,alpine,0
1021,flora,0
1022,Mount,1
1022,Mont Blanc,2
1022,is,0
1022,located,0
1022,in,0
1022,the,0
1022,beautiful,0
1022,landscape,0
1022,of,0
1023,Mount,1
1023,Matterhorn,2
1023,is,0
1023,famous,0
