id,tokens,ner_tags
0,Many,0
0,climbers,0
0,dream,0
0,of,0
0,scaling,0
0,the,0
0,summit,0
0,of,0
0,a,0
0,great,0
0,peak,0
1,The,0
1,expedition,0
1,team,0
1,set,0
1,up,0
1,camp,0
1,at,0
1,the,0
1,base,0
1,of,0
2,The,0
2,expedition,0
2,team,0
2,set,0
2,up,0
2,camp,0
2,at,0
2,the,0
2,base,0
2,of,0
3,The,0
3,legend,0
3,of,0
3,revolves,0
3,around,0
3,the,0
3,mythical,0
3,creatures,0
3,of,0
4,is,0
4,famed,0
4,for,0
4,its,0
4,challenging,0
4,climbing,0
4,routes,0
4,and,0
4,unique,0
4,geology,0
5,Mount,1
5,Kilimanjaro,2
5,is,0
5,a,0
5,prominent,0
5,feature,0
5,in,0
5,the,0
5,landscape,0
5,of,0
6,is,0
6,famed,0
6,for,0
6,its,0
6,challenging,0
6,climbing,0
6,routes,0
6,and,0
6,unique,0
6,geology,0
7,The,0
7,hiking,0
7,trail,0
7,leads,0
7,to,0
7,a,0
7,beautiful,0
7,valley,0
7,near,0
8,Many,0
8,climbers,0
8,dream,0
8,of,0
8,scaling,0
8,the,0
8,summit,0
8,of,0
8,a,0
8,great,0
8,peak,0
9,The,0
9,expedition,0
9,team,0
9,set,0
9,up,0
9,camp,0
9,at,0
9,the,0
9,base,0
9,of,0
10,Mount,1
10,Annapurna,2
10,is,0
10,a,0
10,prominent,0
10,feature,0
10,in,0
10,the,0
10,landscape,0
10,of,0
11,Many,0
11,climbers,0
11,dream,0
11,of,0
11,scaling,0
11,the,0
11,summit,0
11,of,0
11,a,0
11,great,0
11,peak,0
12,The,0
12,legend,0
12,of,0
12,revolves,0
12,around,0
12,the,0
12,mythical,0
12,creatures,0
12,of,0
13,Many,0
13,climbers,0
13,dream,0
13,of,0
13,scaling,0
13,the,0
13,summit,0
13,of,0
13,a,0
13,great,0
13,peak,0
14,The,0
14,hiking,0
14,trail,0
14,leads,0
14,to,0
14,a,0
14,beautiful,0
14,valley,0
14,near,0
15,Mount,1
15,Olympus,2
15,is,0
15,a,0
15,prominent,0
15,feature,0
15,in,0
15,the,0
15,landscape,0
15,of,0
16,The,0
16,legend,0
16,of,0
16,revolves,0
16,around,0
16,the,0
16,mythical,0
16,creatures,0
16,of,0
17,The,0
17,hiking,0
17,trail,0
17,leads,0
17,to,0
17,a,0
17,beautiful,0
17,valley,0
17,near,0
18,Many,0
18,climbers,0
18,dream,0
18,of,0
18,scaling,0
18,the,0
18,summit,0
18,of,0
18,a,0
18,great,0
18,peak,0
19,is,0
19,famed,0
19,for,0
19,its,0
19,challenging,0
19,climbing,0
19,routes,0
19,and,0
19,unique,0
19,geology,0
20,Mount,1
20,Annapurna,2
20,is,0
20,a,0
20,prominent,0
20,feature,0
20,in,0
20,the,0
20,landscape,0
20,of,0
21,The,0
21,legend,0
21,of,0
21,revolves,0
21,around,0
21,the,0
21,mythical,0
21,creatures,0
21,of,0
22,Mount,1
22,K2,2
22,is,0
22,a,0
22,prominent,0
22,feature,0
22,in,0
22,the,0
22,landscape,0
22,of,0
23,Mount,1
23,Aconcagua,2
23,is,0
23,a,0
23,prominent,0
23,feature,0
23,in,0
23,the,0
23,landscape,0
23,of,0
24,The,0
24,hiking,0
24,trail,0
24,leads,0
24,to,0
24,a,0
24,beautiful,0
24,valley,0
24,near,0
25,Mount,1
25,Kilimanjaro,2
25,is,0
25,a,0
25,prominent,0
25,feature,0
25,in,0
25,the,0
25,landscape,0
25,of,0
26,Mount,1
26,Denali,2
26,is,0
26,a,0
26,prominent,0
26,feature,0
26,in,0
26,the,0
26,landscape,0
26,of,0
27,Many,0
27,climbers,0
27,dream,0
27,of,0
27,scaling,0
27,the,0
27,summit,0
27,of,0
27,a,0
27,great,0
27,peak,0
28,is,0
28,famed,0
28,for,0
28,its,0
28,challenging,0
28,climbing,0
28,routes,0
28,and,0
28,unique,0
28,geology,0
29,The,0
29,legend,0
29,of,0
29,revolves,0
29,around,0
29,the,0
29,mythical,0
29,creatures,0
29,of,0
30,The,0
30,legend,0
30,of,0
30,revolves,0
30,around,0
30,the,0
30,mythical,0
30,creatures,0
30,of,0
31,is,0
31,famed,0
31,for,0
31,its,0
31,challenging,0
31,climbing,0
31,routes,0
31,and,0
31,unique,0
31,geology,0
32,Mount,1
32,McKinley,2
32,is,0
32,a,0
32,prominent,0
32,feature,0
32,in,0
32,the,0
32,landscape,0
32,of,0
33,Mount,1
33,Makalu,2
33,is,0
33,a,0
33,prominent,0
33,feature,0
33,in,0
33,the,0
33,landscape,0
33,of,0
34,Many,0
34,climbers,0
34,dream,0
34,of,0
34,scaling,0
34,the,0
34,summit,0
34,of,0
